"code"	"data"	"source"	"analysis"	"initial_ref"
"ZK3_3_array_O"	"array"	"AF"	NA	TRUE
"ZK4_3_array_O"	"array"	"AF"	NA	TRUE
"ZK4_5_array_O"	"array"	"AF"	NA	TRUE
"ZK5_1_array_O"	"array"	"AF"	NA	TRUE
"FRT81_array_A"	"array"	"AF"	NA	TRUE
"FRT83_array_A"	"array"	"AF"	NA	TRUE
"20838_kasp"	"seq"	"AF"	NA	FALSE
"20848_kasp"	"seq"	"AF"	NA	FALSE
"20849_kasp"	"seq"	"AF"	NA	FALSE
"20851_kasp"	"seq"	"AF"	NA	FALSE
"20853_kasp"	"seq"	"AF"	NA	FALSE
"20856_kasp"	"seq"	"AF"	NA	FALSE
"20857_kasp"	"seq"	"AF"	NA	FALSE
"20855_kasp"	"seq"	"AF"	NA	FALSE
"20883_kasp"	"seq"	"AF"	NA	FALSE
"20909_kasp"	"seq"	"AF"	NA	FALSE
"20914_kasp"	"seq"	"AF"	NA	FALSE
"20915_kasp"	"seq"	"AF"	NA	FALSE
"29010_kasp"	"seq"	"AF"	NA	FALSE
"29004_kasp"	"seq"	"AF"	NA	FALSE
"29054_kasp"	"seq"	"AF"	NA	TRUE
"20028_kasp"	"seq"	"AF"	NA	FALSE
"20044_kasp"	"seq"	"AF"	NA	FALSE
"20096_kasp"	"seq"	"AF"	NA	FALSE
"20105_kasp"	"seq"	"AF"	NA	FALSE
"20156_kasp"	"seq"	"AF"	NA	FALSE
"20159_kasp"	"seq"	"AF"	NA	TRUE
"20056_kasp"	"seq"	"AF"	NA	FALSE
"20069_kasp"	"seq"	"AF"	NA	FALSE
"20071_kasp"	"seq"	"AF"	NA	FALSE
"20116_kasp"	"seq"	"AF"	NA	FALSE
"20121_kasp"	"seq"	"AF"	NA	TRUE
"20128_kasp"	"seq"	"AF"	NA	FALSE
"20135_kasp"	"seq"	"AF"	NA	TRUE
"20136_kasp"	"seq"	"AF"	NA	FALSE
"20143_kasp"	"seq"	"AF"	NA	FALSE
"20145_kasp"	"seq"	"AF"	NA	TRUE
"20146_kasp"	"seq"	"AF"	NA	FALSE
"20163_kasp"	"seq"	"AF"	NA	FALSE
"20164_kasp"	"seq"	"AF"	NA	FALSE
"20183_kasp"	"seq"	"AF"	NA	FALSE
"20194_kasp"	"seq"	"AF"	NA	FALSE
"20186_kasp"	"seq"	"AF"	NA	FALSE
"20213_kasp"	"seq"	"AF"	NA	FALSE
"20215_kasp"	"seq"	"AF"	NA	FALSE
"20228_kasp"	"seq"	"AF"	NA	FALSE
"20233_kasp"	"seq"	"AF"	NA	TRUE
"20245_kasp"	"seq"	"AF"	NA	TRUE
"20250_kasp"	"seq"	"AF"	NA	FALSE
"20255_kasp"	"seq"	"AF"	NA	FALSE
"20292_kasp"	"seq"	"AF"	NA	FALSE
"20293_kasp"	"seq"	"AF"	NA	FALSE
"20295_kasp"	"seq"	"AF"	NA	FALSE
"20315_kasp"	"seq"	"AF"	NA	FALSE
"S-1"	"seq"	"VN"	"sample"	FALSE
"S-2"	"seq"	"VN"	"sample"	FALSE
"S-3"	"seq"	"VN"	"sample"	FALSE
"S-4"	"seq"	"VN"	"sample"	FALSE
"S-5"	"seq"	"VN"	"sample"	FALSE
"S-6"	"seq"	"VN"	"sample"	FALSE
"S-7"	"seq"	"VN"	"sample"	FALSE
"S-8"	"seq"	"VN"	"sample"	FALSE
"S-9"	"seq"	"VN"	"sample"	FALSE
"S-10"	"seq"	"VN"	"sample"	FALSE
"S-11"	"seq"	"VN"	"sample"	FALSE
"S-12"	"seq"	"VN"	"sample"	FALSE
"S-13"	"seq"	"VN"	"sample"	FALSE
"S-14"	"seq"	"VN"	"sample"	FALSE
"S-15"	"seq"	"VN"	"sample"	FALSE
"S-16"	"seq"	"VN"	"sample"	FALSE
"S-17"	"seq"	"VN"	"sample"	FALSE
"S-18"	"seq"	"VN"	"sample"	FALSE
"S-19"	"seq"	"VN"	"sample"	FALSE
"S-20"	"seq"	"VN"	"sample"	FALSE
"S-21"	"seq"	"VN"	"sample"	FALSE
"S-22"	"seq"	"VN"	"sample"	FALSE
"S-23"	"seq"	"VN"	"sample"	FALSE
"S-24"	"seq"	"VN"	"sample"	FALSE
"S-25"	"seq"	"VN"	"sample"	FALSE
